밀원수종명,주소,경도,위도,화밀량
아까시나무,경상북도 칠곡군 연호5길 43-5,128.5042944,35.93140107,65.318
아까시나무,충청남도 공주시 수실1길 8-7,127.2513142,36.39722227,160.378
아까시나무,충청북도 충주시 주덕농공길 53,127.7852606,36.96753996,11.785
아까시나무,경상북도 칠곡군 유학로 110-13,128.4198657,36.07462776,594.204
아까시나무,충청북도 충주시 능골1길 13-21,127.8299629,36.96311049,21.913
아까시나무,충청북도 충주시 충인3길 7,127.9313994,36.97330665,55.802
아까시나무,전라남도 장흥군 회진남문길 6,126.9391138,34.48277627,25.275
아까시나무,충청북도 충주시 팔봉향산길 380-25,127.9225601,36.9221721,155.129
아까시나무,경상북도 칠곡군 학산1길 36,128.4980222,36.05444378,34.609
아까시나무,충청북도 충주시 남산로 17,127.9341695,36.96177621,55.802
아까시나무,충청북도 충주시 쇠실로 879-7,127.8190272,36.96484861,12.474
아까시나무,경상북도 칠곡군 중앙로 129,128.3989908,35.98657708,52.847
아까시나무,경상북도 칠곡군 경북대로 301-8,128.5559811,35.98785849,176.532
아까시나무,충청남도 공주시 고마나루길 51-14,127.1073903,36.46245469,48.964
아까시나무,경상북도 칠곡군 낙산로5길 46,128.5176007,35.93167719,88.509
아까시나무,충청북도 충주시 중산신촌길 85,127.9937205,36.88463002,28.729
아까시나무,경상북도 칠곡군 시덕로 370-24,128.3841906,36.05774041,365.905
아까시나무,경상북도 칠곡군 가정1길 1-12,128.5181805,35.92235144,463.657
아까시나무,충청북도 충주시 창현로 1206,127.8798625,36.94483694,329.184
아까시나무,경상북도 칠곡군 북중리11길 15,128.412414,36.07756211,196.076
아까시나무,경상북도 칠곡군 성곡2길 53,128.4293491,36.073944,839.192
아까시나무,경상북도 칠곡군 득명3길 23,128.6126325,36.00947381,597.83
아까시나무,충청북도 충주시 샛강영길 56-1,127.9685739,37.10293331,53.863
아까시나무,경상북도 칠곡군 연화1길 34-8,128.4454663,35.9713664,104.397
아까시나무,경상북도 칠곡군 기성11길 19,128.6041699,36.00361213,38.949
아까시나무,경상북도 칠곡군 금호빈주길 58-15,128.4369486,35.94336769,89.839
아까시나무,충청북도 충주시 도선동길 49-30,127.9908994,36.93337103,188.733
아까시나무,충청북도 충주시 섬말1길 9-30,127.9216684,37.04560722,163.001
아까시나무,충청남도 공주시 여드니2길 9-35,126.9551147,36.57547639,129.118
아까시나무,충청북도 충주시 서운능골길 44,128.0560782,36.98604804,108.557
아까시나무,충청북도 충주시 쇠실로 716,127.8143877,36.95109291,282.174
아까시나무,경상북도 칠곡군 자조1길 19-24,128.3962039,35.98135611,119.304
아까시나무,충청북도 충주시 외촌학골길 16,127.9460648,37.00627908,167.454
아까시나무,충청북도 충주시 신덕로 1394,127.7986435,36.9733225,41.524
아까시나무,충청북도 충주시 엄동길 31-10,127.7886377,37.00638247,55.324
아까시나무,경상북도 칠곡군 상지1길 18,128.4937207,35.95914658,97.426
아까시나무,경상북도 칠곡군 칠곡대로 1284-12,128.3859836,35.98871071,198.11
아까시나무,경상북도 칠곡군 팔공산로3길 5,128.6021329,36.0019948,73.162
아까시나무,경상북도 칠곡군 이언길 18,128.4934881,35.94195816,310.202
아까시나무,경상북도 칠곡군 장곡길 241,128.4211865,36.07390513,594.204
아까시나무,충청북도 충주시 월악로 322-6,128.0058953,36.90157684,57.938
아까시나무,경상북도 칠곡군 시덕로 370-24,128.3841906,36.05774041,3.537
아까시나무,경상북도 칠곡군 신동로 168,128.4904683,35.95565879,446.114
아까시나무,충청북도 충주시 능말1길 61,127.780996,36.96202208,50.709
아까시나무,충청북도 충주시 중원대로 3078-9,127.916468,36.94748533,42.62
아까시나무,충청북도 충주시 세성양지말길 12,127.961376,36.90568156,41.993
아까시나무,경상북도 칠곡군 신동로7길 19,128.4880979,35.95586133,188.646
